id,first_name,last_name,nationality,date_of_birth
51, 'Abey', 'Penfold', 'United Kingdom', '02-07-1960'
85, 'Merrily', 'Gyles', 'Pakistan', '06-11-1904'
137, 'Josiah', 'Battson', 'Guatemala', '02-12-1949'
328, 'Corrie', 'Stuckes', 'Brazil', '20-04-1925'
412, 'Daphene', 'Gilman', 'Brazil', '25-01-1912'
694, 'Cheryl', 'Mara', 'Brazil', '12-12-1912'
701, 'Drake', 'Frape', 'Brazil', '09-04-1924'
750, 'Franciskus', 'Standrin', 'Brazil', '06-12-1912'
809, 'Ondrea', 'Jellyman', 'Comoros', '13-09-1919'
812, 'Syd', 'McConway', 'Brazil', '01-08-1952'
840, 'Alphonso', 'Fosten', 'Mongolia', '01-12-1965'
890, 'Horton', 'Muller', 'Brazil', '03-11-1950'
898, 'Hobey', 'Klagges', 'Pakistan', '22-05-1910'
988, 'Susie', 'Swale', 'Brazil', '27-09-1947'
